N,카테고리,내용,링크
10,[국내 경제 헤드라인 뉴스],2. '금리 인상' vs '시기 상조'...美 인플레 우려에 고심 깊은 정부,"https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=052&aid=0001588614
"
11,[국내 경제 헤드라인 뉴스],3. ‘국산 치료제’ 3개월 간 3천여 건 투여…“경증 환자에 효과”,"https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=056&aid=0011044962
"
12,[국내 경제 헤드라인 뉴스],4. '바다의 로또' 막나…떠내려 온 고래도 못 판다,"https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=214&aid=0001118933
"
13,[국내 경제 헤드라인 뉴스],5. [거리의 경제] 연준이가 대체 누구야? 금리 올리면 나스닥부터 무너지는 이유,"https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=214&aid=0001118932
"
14,[국내 IT/과학 헤드라인 뉴스],"1. ""칼 갈고 만들었다""…삼성·애플 신제품 '이렇게' 나온다 [배성수의 다다IT선]","https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=015&aid=0004547071
"
15,[국내 IT/과학 헤드라인 뉴스],2. 한국 이용자 “넷플릭스 이젠 지겹다…디즈니 빨리 와라!”,"https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001835738
"
16,[국내 IT/과학 헤드라인 뉴스],"3. “中 탐사선 기술 수준 이정도였어?”…혀 내두른 日 전문가, 이유는?","https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001835732
"
17,[국내 IT/과학 헤드라인 뉴스],"4. 日전문가도 경탄한 中탐사선 화성 착륙…""기술 수준 매우 높아""","https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=001&aid=0012396012
"
18,[국내 IT/과학 헤드라인 뉴스],5. “당근마켓 하려면 실명 밝혀라?”…‘황당한’ 중고거래법 결말은?,"https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001835731
"
19,[해외 헤드라인 뉴스],"1. This 'dogecoin millionaire' refuses to sell, bought during the dip—now his stash is worth $2 million","https://www.cnbc.com/2021/05/13/dogecoin-millionaire-refuses-to-sell-and-continues-to-buy-the-dip.html
"
20,[해외 헤드라인 뉴스],"2. One simple trigger word can get people to agree with you, according to an influence expert","https://www.cnbc.com/2021/05/13/how-to-persuade-people-with-one-word-influence-expert-robert-cialdini.html
"
21,[해외 헤드라인 뉴스],"3. Walmart, Costco drop store mask requirement for customers, employees who are fully vaccinated","https://www.cnbc.com/2021/05/14/walmart-customers-employees-who-are-vaccinated-wont-need-to-wear-masks.html
"
22,[해외 헤드라인 뉴스],4. Here's the net worth Americans say you need to be considered wealthy,"https://www.cnbc.com/2021/05/12/net-worth-to-be-considered-wealthy-in-2021.html
"
23,[해외 헤드라인 뉴스],5. People in the Philippines are earning cryptocurrency during the pandemic by playing a video game,"https://www.cnbc.com/2021/05/14/people-in-philippines-earn-cryptocurrency-playing-nft-video-game-axie-infinity.html
"
23,[경제 관련 데이터],"달러환율 1,129.50
전일대비 4.00(-0.35%) 하락"
24,[경제 관련 데이터],"나스닥지수 13,429.98
전일대비 304.99(+2.32%) 상승"
25,[경제 관련 데이터],"S&P500지수 4,173.85
전일대비 61.35(+1.49%) 상승"
